type,value,chembl,target
IC50,8.15,CHEMBL439923,3
IC50,8.83,CHEMBL1916480,3
IC50,7.42,CHEMBL505194,3
IC50,8.00,CHEMBL180237,3
IC50,7.70,CHEMBL85350,3
IC50,8.08,CHEMBL25985,3
IC50,5.54,CHEMBL3360172,3
IC50,7.32,CHEMBL2414302,3
IC50,7.67,CHEMBL4099788,3
IC50,8.89,CHEMBL556514,3
IC50,9.13,CHEMBL1928266,3
IC50,8.30,CHEMBL182179,3
IC50,7.23,CHEMBL193746,3
IC50,7.67,CHEMBL3973580,3
IC50,8.42,CHEMBL4092040,3
IC50,5.35,CHEMBL68706,3
IC50,8.68,CHEMBL325777,3
IC50,9.42,CHEMBL1095186,3
IC50,4.75,CHEMBL31359,3
IC50,7.77,CHEMBL4210889,3
IC50,5.50,CHEMBL3927064,3
IC50,6.68,CHEMBL117583,3
IC50,8.36,CHEMBL539789,3
IC50,9.72,CHEMBL1097822,3
IC50,8.40,CHEMBL3956031,3
IC50,9.11,CHEMBL567229,3
IC50,4.63,CHEMBL363673,3
IC50,6.98,CHEMBL2180661,3
IC50,8.98,CHEMBL246536,3
IC50,8.85,CHEMBL4206819,3
IC50,7.58,CHEMBL366118,3
IC50,6.85,CHEMBL144400,3
IC50,9.23,CHEMBL4070894,3
IC50,4.85,CHEMBL123034,3
IC50,9.00,CHEMBL288061,3
IC50,8.49,CHEMBL149536,3
IC50,7.80,CHEMBL89239,3
IC50,6.02,CHEMBL52141,3
IC50,9.52,CHEMBL139998,3
IC50,6.79,CHEMBL284719,3
IC50,6.23,CHEMBL1650683,3
IC50,9.47,CHEMBL584056,3
IC50,6.50,CHEMBL1094268,3
IC50,8.30,CHEMBL337587,3
IC50,5.52,CHEMBL3403372,3
IC50,5.00,CHEMBL1641615,3
IC50,7.39,CHEMBL2180952,3
IC50,8.98,CHEMBL565308,3
IC50,5.08,CHEMBL440716,3
IC50,6.11,CHEMBL331407,3
IC50,6.06,CHEMBL554480,3
IC50,5.40,CHEMBL1099243,3
IC50,6.51,CHEMBL118462,3
IC50,8.48,CHEMBL1096785,3
IC50,7.68,CHEMBL207111,3
IC50,4.40,CHEMBL144047,3
IC50,6.75,CHEMBL4288727,3
IC50,4.39,CHEMBL183156,3
IC50,9.41,CHEMBL4204687,3
IC50,9.10,CHEMBL4209550,3
IC50,7.40,CHEMBL365591,3
IC50,7.76,CHEMBL3941629,3
IC50,6.89,CHEMBL362755,3
IC50,7.00,CHEMBL354251,3
IC50,4.65,CHEMBL421268,3
IC50,4.62,CHEMBL330241,3
IC50,8.15,CHEMBL183343,3
IC50,6.52,CHEMBL425344,3
IC50,6.16,CHEMBL203287,3
IC50,5.62,CHEMBL188334,3
IC50,5.62,CHEMBL118415,3
IC50,9.66,CHEMBL590280,3
IC50,10.30,CHEMBL1916303,3
IC50,4.06,CHEMBL1079948,3
IC50,5.70,CHEMBL295977,3
IC50,7.22,CHEMBL1628659,3
IC50,9.68,CHEMBL590037,3
IC50,8.30,CHEMBL3966438,3
IC50,5.00,CHEMBL328147,3
IC50,6.54,CHEMBL1098905,3
IC50,8.54,CHEMBL4209232,3
IC50,9.09,CHEMBL324645,3
IC50,7.42,CHEMBL1099245,3
IC50,9.55,CHEMBL541468,3
IC50,8.72,CHEMBL33518,3
IC50,6.00,CHEMBL537465,3
IC50,9.22,CHEMBL3986487,3
IC50,7.85,CHEMBL544540,3
IC50,4.10,CHEMBL359890,3
IC50,7.25,CHEMBL4084753,3
IC50,5.91,CHEMBL1915888,3
IC50,7.64,CHEMBL213060,3
IC50,8.70,CHEMBL4209220,3
IC50,5.05,CHEMBL536801,3
IC50,5.28,CHEMBL1778033,3
IC50,6.64,CHEMBL3703693,3
IC50,6.64,CHEMBL3741492,3
IC50,6.80,CHEMBL3703700,3
IC50,8.70,CHEMBL3926754,3
IC50,8.19,CHEMBL280578,3
IC50,9.10,CHEMBL7868,3
IC50,8.58,CHEMBL4214882,3
IC50,7.40,CHEMBL183096,3
IC50,8.21,CHEMBL2414308,3
IC50,5.85,CHEMBL377144,3
IC50,8.955,CHEMBL1095176,3
IC50,5.02,CHEMBL185208,3
IC50,8.30,CHEMBL4208487,3
IC50,7.06,CHEMBL2180660,3
IC50,7.13,CHEMBL2414305,3
IC50,6.43,CHEMBL504620,3
IC50,7.42,CHEMBL194056,3
IC50,5.20,CHEMBL203830,3
IC50,9.05,CHEMBL286723,3
IC50,4.82,CHEMBL286042,3
IC50,5.62,CHEMBL119506,3
IC50,8.96,CHEMBL285610,3
IC50,6.75,CHEMBL305237,3
IC50,6.29,CHEMBL307379,3
IC50,8.52,CHEMBL557467,3
IC50,6.57,CHEMBL2414306,3
IC50,6.85,CHEMBL115936,3
IC50,9.30,CHEMBL4210847,3
IC50,8.06,CHEMBL4278136,3
IC50,5.51,CHEMBL3403373,3
IC50,5.95,CHEMBL4636071,3
IC50,6.00,CHEMBL308199,3
IC50,6.72,CHEMBL1650880,3
IC50,8.39,CHEMBL3654377,3
IC50,5.06,CHEMBL67418,3
IC50,9.47,CHEMBL394040,3
IC50,5.30,CHEMBL299650,3
IC50,4.50,CHEMBL333985,3
IC50,8.15,CHEMBL508321,3
IC50,6.08,CHEMBL142782,3
IC50,8.00,CHEMBL183150,3
IC50,7.10,CHEMBL193487,3
IC50,6.85,CHEMBL213113,3
IC50,8.28,CHEMBL4277243,3
IC50,8.59,CHEMBL556618,3
IC50,7.10,CHEMBL459047,3
IC50,5.20,CHEMBL365214,3
IC50,8.50,CHEMBL1095440,3
IC50,6.75,CHEMBL371451,3
IC50,6.58,CHEMBL118944,3
IC50,6.43,CHEMBL1463540,3
IC50,9.10,CHEMBL4474634,3
IC50,6.89,CHEMBL313561,3
IC50,5.54,CHEMBL3976289,3
IC50,6.38,CHEMBL118812,3
IC50,4.85,CHEMBL144374,3
IC50,9.04,CHEMBL4467125,3
IC50,8.89,CHEMBL23308,3
IC50,8.68,CHEMBL561952,3
IC50,6.62,CHEMBL423559,3
IC50,9.46,CHEMBL1916297,3
IC50,7.42,CHEMBL213219,3
IC50,7.11,CHEMBL4065489,3
IC50,4.28,CHEMBL344720,3
IC50,7.51,CHEMBL304927,3
IC50,8.20,CHEMBL283242,3
IC50,4.34,CHEMBL497654,3
IC50,7.96,CHEMBL24228,3
IC50,7.37,CHEMBL551948,3
IC50,10.30,CHEMBL1094249,3
IC50,7.17,CHEMBL164173,3
IC50,8.39,CHEMBL4207041,3
IC50,8.02,CHEMBL377579,3
IC50,6.20,CHEMBL190423,3
IC50,5.12,CHEMBL308973,3
IC50,5.05,CHEMBL118959,3
IC50,7.33,CHEMBL4216348,3
IC50,8.62,CHEMBL4205598,3
IC50,7.99,CHEMBL2414303,3
IC50,6.22,CHEMBL3741950,3
IC50,9.05,CHEMBL383202,3
IC50,6.35,CHEMBL119841,3
IC50,4.96,CHEMBL185532,3
IC50,5.41,CHEMBL332520,3
IC50,4.89,CHEMBL553583,3
IC50,6.00,CHEMBL300416,3
IC50,4.74,CHEMBL4635055,3
IC50,8.48,CHEMBL342527,3
IC50,8.82,CHEMBL545476,3
IC50,6.95,CHEMBL197191,3
IC50,4.40,CHEMBL514277,3
IC50,8.55,CHEMBL25419,3
IC50,5.44,CHEMBL119309,3
IC50,7.56,CHEMBL4284224,3
IC50,5.29,CHEMBL182227,3
IC50,5.75,CHEMBL3912685,3
IC50,5.51,CHEMBL367927,3
IC50,6.13,CHEMBL118781,3
IC50,8.74,CHEMBL106447,3
IC50,5.27,CHEMBL3919436,3
IC50,8.05,CHEMBL89248,3
IC50,5.54,CHEMBL307232,3
IC50,8.54,CHEMBL560609,3
IC50,5.05,CHEMBL327834,3
IC50,5.17,CHEMBL370308,3
IC50,8.80,CHEMBL3401754,3
IC50,6.285,CHEMBL34816,3
IC50,5.00,CHEMBL306417,3
IC50,7.30,CHEMBL4287523,3
IC50,8.48,CHEMBL4206390,3
IC50,5.72,CHEMBL3909725,3
IC50,6.07,CHEMBL195618,3
IC50,7.40,CHEMBL46416,3
IC50,6.64,CHEMBL439667,3
IC50,8.10,CHEMBL245841,3
IC50,7.92,CHEMBL3401750,3
IC50,6.57,CHEMBL100779,3
IC50,4.66,CHEMBL118572,3
IC50,8.92,CHEMBL322272,3
IC50,9.12,CHEMBL1097782,3
IC50,5.46,CHEMBL604519,3
IC50,5.30,CHEMBL545751,3
IC50,8.27,CHEMBL4522391,3
IC50,8.25,CHEMBL25616,3
IC50,9.15,CHEMBL542418,3
IC50,5.82,CHEMBL327666,3
IC50,7.47,CHEMBL196241,3
IC50,4.42,CHEMBL439809,3
IC50,7.00,CHEMBL215465,3
IC50,6.00,CHEMBL284006,3
IC50,7.18,CHEMBL304389,3
IC50,7.60,CHEMBL247270,3
IC50,7.44,CHEMBL4291228,3
IC50,7.57,CHEMBL4205338,3
IC50,5.90,CHEMBL1650885,3
IC50,9.08,CHEMBL560687,3
IC50,8.77,CHEMBL4102250,3
IC50,8.22,CHEMBL456577,3
IC50,5.37,CHEMBL365857,3
IC50,8.52,CHEMBL4214699,3
IC50,10.05,CHEMBL1095406,3
IC50,8.82,CHEMBL4065036,3
IC50,5.60,CHEMBL363301,3
IC50,8.17,CHEMBL4218777,3
IC50,6.50,CHEMBL314981,3
IC50,6.21,CHEMBL70295,3
IC50,6.72,CHEMBL4288752,3
IC50,5.06,CHEMBL187486,3
IC50,6.925,CHEMBL191041,3
IC50,8.77,CHEMBL2414316,3
IC50,7.72,CHEMBL66620,3
IC50,10.10,CHEMBL566598,3
IC50,5.20,CHEMBL3676176,3
IC50,9.59,CHEMBL567447,3
IC50,8.40,CHEMBL3639532,3
IC50,8.07,CHEMBL2180951,3
IC50,7.10,CHEMBL46639,3
IC50,6.09,CHEMBL115997,3
IC50,5.48,CHEMBL1650872,3
